,alpha,beta,r1,r2,ss
0,0.0,0.0,0.2807407797062306,0.10192857617635445,-0.1499810852436239
1,2.0,1.0,0.6348791590404286,0.4604464939124294,-0.10094792356012962
2,2.0,5.0,0.0,0.9620884104000184,0.048795659625838816
3,2.0,10.0,0.0,0.9893959512639213,0.04826591459960778
4,2.0,15.0,0.0,0.9949087080582305,0.043572475389963665
5,2.0,25.0,0.0,0.9409429597659855,0.004888468375888739
6,5.0,1.0,0.8164482867223242,0.34025917253105614,-0.07515235795161655
7,5.0,5.0,0.4433514468963158,0.8963642907191501,0.04071775113246616
8,5.0,10.0,0.29653644879546126,0.9688087520369931,0.0482523505997141
9,5.0,15.0,0.0,0.21044634751100838,-0.18820029866649454
10,5.0,25.0,0.0,0.6720722804857429,-0.11259565137541577
11,10.0,1.0,0.897808147997054,0.2196156191639761,-0.15716158758831997
12,10.0,5.0,0.6283113510942091,0.7588809118227935,0.01797894230329923
13,10.0,10.0,0.4407669446444575,0.9086813789386727,0.050630677862558066
14,10.0,15.0,0.36518580062410483,0.9023194215754282,0.03626244093614412
15,10.0,25.0,0.31033645185359837,0.8176226245922728,-0.03341244445462842
16,20.0,1.0,0.7358141086770432,0.16705804544637323,-0.21770564312096144
17,20.0,5.0,0.6689040427648395,0.4198593158236859,-0.09316714998129809
18,20.0,10.0,0.5288228962124302,0.7836283679149393,0.019958135228223206
19,20.0,15.0,0.4730506151606481,0.8467443417538649,0.04673206996170474
20,20.0,25.0,0.3902829069033338,0.9123821878576572,0.0531620566239761
21,30.0,1.0,0.7224481628197148,0.1514754008196844,-0.2338620757949116
22,30.0,5.0,0.7014407906448953,0.3228500317455016,-0.13458059759942373
23,30.0,10.0,0.5862983062099656,0.6736340389331552,-0.01941715639766428
24,30.0,15.0,0.525970806786851,0.6377899891492341,-0.06396404869020224
25,30.0,25.0,0.44755099950141763,0.8115215869191076,0.00868096738183421
26,50.0,1.0,0.7455945747260097,0.12977834495735058,-0.22342621642163374
27,50.0,5.0,0.7287516345779419,0.28972130475691493,-0.16924989795423123
28,50.0,10.0,0.6891314521864422,0.4311514419138542,-0.0779152497877273
29,50.0,15.0,0.6247895980827529,0.5242842587792989,-0.06772232176195292
30,50.0,25.0,0.5175312255622745,0.7811160372785685,-0.004608482804774246
